14.7,8.7,2.1,1.06E+05,16,200,73,40,200,73,1.06E+05,2.48E+05,32,50,174,40,100,87,2.49E+05,0,12,200,73,25,200,73,44090,0,12,200,43,25,200,43,25971,20,75,8.3776,20,50,12.566,0,0,0,53714,54247,31540,85786,1.40E+05
14.7,8.7,2.2,1.01E+05,12,200,73,20,50,294,1.01E+05,2.35E+05,16,100,87,40,50,174,2.36E+05,0,12,100,147,16,100,147,46181,0,12,100,87,16,100,87,27332,16,50,8.0425,20,50,12.566,0,0,0,56272,52401,31035,83436,1.40E+05
14.7,8.7,2.6,83507,25,200,73,25,150,98,83939,1.95E+05,32,100,87,32,50,174,2.10E+05,0,16,150,98,25,200,73,55538,0,16,150,58,25,200,43,32769,25,150,6.545,25,100,9.8175,0,0,0,66503,49003,24640,73643,1.40E+05
14.7,8.7,2.7,80061,12,200,73,25,100,147,80415,1.87E+05,32,50,174,40,200,43,1.94E+05,0,12,150,98,20,100,147,57265,0,12,150,58,20,100,87,33892,20,100,6.2832,25,100,9.8175,0,0,0,69061,47174,24246,71421,1.40E+05
14.7,8.7,2.3,95742,25,150,98,25,150,98,96211,2.24E+05,12,150,58,40,50,174,2.25E+05,0,16,150,98,16,100,147,49260,0,16,150,58,16,100,87,29154,25,125,7.854,20,50,12.566,0,0,0,58829,51238,30751,81989,1.41E+05
14.7,8.7,2.8,76874,20,150,98,20,100,147,76969,1.80E+05,40,150,58,40,100,87,1.82E+05,0,16,100,147,20,150,98,60344,0,16,100,87,20,150,58,35714,20,100,6.2832,25,100,9.8175,0,0,0,71618,46093,24246,70339,1.42E+05
14.7,8.7,2.4,91305,16,150,98,25,100,147,91863,2.13E+05,40,100,87,40,100,87,2.19E+05,0,16,150,98,20,150,98,50492,0,16,150,58,20,150,58,29883,25,125,7.854,20,50,12.566,0,0,0,61387,50101,30751,80852,1.42E+05
14.7,8.7,3,71164,25,200,73,25,200,73,71668,1.66E+05,20,100,87,32,50,174,1.67E+05,0,12,50,294,20,150,98,64038,0,12,50,174,20,150,58,37900,25,175,5.61,20,75,8.3776,0,0,0,76734,44508,21064,65572,1.42E+05
14.7,8.7,2,1.12E+05,12,50,294,32,150,98,1.12E+05,2.77E+05,32,50,174,32,50,174,2.80E+05,0,12,150,98,20,150,98,41871,21548,12,150,58,20,150,58,24781,25,100,9.8175,25,75,13.09,0,0,0,51156,57856,34496,92352,1.44E+05
14.7,8.7,2.9,73916,12,100,147,32,200,73,75335,1.73E+05,32,200,43,32,50,174,1.75E+05,0,20,150,98,20,150,98,61575,0,20,150,58,20,150,58,36442,20,100,6.2832,25,100,9.8175,0,0,0,74176,45310,24246,69556,1.44E+05
14.7,8.7,2.5,87242,16,100,147,32,200,73,88266,2.04E+05,32,100,87,32,50,174,2.10E+05,0,12,50,294,16,150,98,52955,0,12,50,174,16,150,58,31341,25,125,7.854,20,50,12.566,0,0,0,63945,49158,30751,79910,1.44E+05
14.7,8.7,1.9,1.18E+05,25,150,98,25,100,147,1.20E+05,3.16E+05,40,100,87,40,50,174,3.28E+05,0,16,150,98,16,150,98,39408,45708,16,100,87,25,150,58,45963,25,100,9.8175,25,50,19.635,0,0,0,48598,65946,44353,1.10E+05,1.59E+05
14.7,8.7,1.8,1.26E+05,12,200,73,32,100,147,1.26E+05,3.59E+05,40,50,174,40,50,174,4.37E+05,0,16,200,73,20,200,73,37611,71683,16,100,87,20,50,174,72156,20,50,12.566,25,50,19.635,0,0,0,46040,80594,48492,1.29E+05,1.75E+05
14.7,8.7,1.7,1.34E+05,12,150,98,40,150,98,1.34E+05,4.06E+05,40,50,174,40,50,174,4.37E+05,0,12,100,147,16,150,98,36329,99847,20,100,87,40,150,58,1.00E+05,20,50,12.566,25,50,19.635,0,0,0,43483,84589,48492,1.33E+05,1.77E+05
