-4,3,1
-3,3,2
-2,3,3
-1,3,4
0,3,5
1,3,4
2,3,3
3,3,2
4,3,1
-4,2,6
-3,2,7
-2,2,8
-1,2,9
0,2,10
1,2,9
2,2,8
3,2,7
4,2,6
-4,1,11
-3,1,12
-2,1,13
-1,1,14
0,1,15
1,1,14
2,1,13
3,1,12
4,1,11
-4,0,16
-3,0,17
-2,0,18
-1,0,19
0,0,20
1,0,19
2,0,18
3,0,17
4,0,16
-4,-1,11
-3,-1,12
-2,-1,13
-1,-1,14
0,-1,15
1,-1,14
2,-1,13
3,-1,12
4,-1,11
-4,-2,6
-3,-2,7
-2,-2,8
-1,-2,9
0,-2,10
1,-2,9
2,-2,8
3,-2,7
4,-2,6
-4,-3,1
-3,-3,2
-2,-3,3
-1,-3,4
0,-3,5
1,-3,4
2,-3,3
3,-3,2
4,-3,1
