-3.5,3,1
-2.5,3,2
-1.5,3,3
-0.5,3,4
0.5,3,4
1.5,3,3
2.5,3,2
3.5,3,1
-3.5,2,5
-2.5,2,6
-1.5,2,7
-0.5,2,8
0.5,2,8
1.5,2,7
2.5,2,6
3.5,2,5
-3.5,1,9
-2.5,1,10
-1.5,1,11
-0.5,1,12
0.5,1,12
1.5,1,11
2.5,1,10
3.5,1,9
-3.5,0,13
-2.5,0,14
-1.5,0,15
-0.5,0,16
0.5,0,16
1.5,0,15
2.5,0,14
3.5,0,13
-3.5,-1,9
-2.5,-1,10
-1.5,-1,11
-0.5,-1,12
0.5,-1,12
1.5,-1,11
2.5,-1,10
3.5,-1,9
-3.5,-2,5
-2.5,-2,6
-1.5,-2,7
-0.5,-2,8
0.5,-2,8
1.5,-2,7
2.5,-2,6
3.5,-2,5
-3.5,-3,1
-2.5,-3,2
-1.5,-3,3
-0.5,-3,4
0.5,-3,4
1.5,-3,3
2.5,-3,2
3.5,-3,1
