-5,2.5,1
-4,2.5,2
-3,2.5,3
-2,2.5,4
-1,2.5,5
0,2.5,6
1,2.5,5
2,2.5,4
3,2.5,3
4,2.5,2
5,2.5,1
-5,1.5,7
-4,1.5,8
-3,1.5,9
-2,1.5,10
-1,1.5,11
0,1.5,12
1,1.5,11
2,1.5,10
3,1.5,9
4,1.5,8
5,1.5,7
-5,0.5,13
-4,0.5,14
-3,0.5,15
-2,0.5,16
-1,0.5,17
0,0.5,18
1,0.5,17
2,0.5,16
3,0.5,15
4,0.5,14
5,0.5,13
-5,-0.5,13
-4,-0.5,14
-3,-0.5,15
-2,-0.5,16
-1,-0.5,17
0,-0.5,18
1,-0.5,17
2,-0.5,16
3,-0.5,15
4,-0.5,14
5,-0.5,13
-5,-1.5,7
-4,-1.5,8
-3,-1.5,9
-2,-1.5,10
-1,-1.5,11
0,-1.5,12
1,-1.5,11
2,-1.5,10
3,-1.5,9
4,-1.5,8
5,-1.5,7
-5,-2.5,1
-4,-2.5,2
-3,-2.5,3
-2,-2.5,4
-1,-2.5,5
0,-2.5,6
1,-2.5,5
2,-2.5,4
3,-2.5,3
4,-2.5,2
5,-2.5,1
