-5,3,1
-4,3,2
-3,3,3
-2,3,4
-1,3,5
0,3,6
1,3,5
2,3,4
3,3,3
4,3,2
5,3,1
-5,2,7
-4,2,8
-3,2,9
-2,2,10
-1,2,11
0,2,12
1,2,11
2,2,10
3,2,9
4,2,8
5,2,7
-5,1,13
-4,1,14
-3,1,15
-2,1,16
-1,1,17
0,1,18
1,1,17
2,1,16
3,1,15
4,1,14
5,1,13
-5,0,19
-4,0,20
-3,0,21
-2,0,22
-1,0,23
0,0,24
1,0,23
2,0,22
3,0,21
4,0,20
5,0,19
-5,-1,13
-4,-1,14
-3,-1,15
-2,-1,16
-1,-1,17
0,-1,18
1,-1,17
2,-1,16
3,-1,15
4,-1,14
5,-1,13
-5,-2,7
-4,-2,8
-3,-2,9
-2,-2,10
-1,-2,11
0,-2,12
1,-2,11
2,-2,10
3,-2,9
4,-2,8
5,-2,7
-5,-3,1
-4,-3,2
-3,-3,3
-2,-3,4
-1,-3,5
0,-3,6
1,-3,5
2,-3,4
3,-3,3
4,-3,2
5,-3,1
